alg time size
primeiroNegativo 982179 755
primeiroNegativo 344 1
primeiroNegativo 37097 582
primeiroNegativo 171 1
primeiroNegativo 156034 671
primeiroNegativo 190 1
primeiroNegativo 9862 158
primeiroNegativo 188 1
primeiroNegativo 24783 292
primeiroNegativo 167 1
primeiroNegativo 41121 901
primeiroNegativo 182 1
primeiroNegativo 28319 527
primeiroNegativo 182 1
primeiroNegativo 30078 750
primeiroNegativo 168 1
primeiroNegativo 8193 221
primeiroNegativo 196 1
primeiroNegativo 47155 872
primeiroNegativo 186 1
primeiroNegativo 25548 640
primeiroNegativo 183 1
primeiroNegativo 14459 371
primeiroNegativo 174 1
primeiroNegativo 7310 196
primeiroNegativo 189 1
primeiroNegativo 15727 408
primeiroNegativo 195 1
primeiroNegativo 36062 902
primeiroNegativo 187 1
primeiroNegativo 22750 270
primeiroNegativo 167 1
primeiroNegativo 24406 607
primeiroNegativo 206 1
primeiroNegativo 39551 979
primeiroNegativo 190 1
primeiroNegativo 5056 140
primeiroNegativo 174 1
primeiroNegativo 47877 828
primeiroNegativo 189 1
primeiroNegativo 21134 543
primeiroNegativo 189 1
primeiroNegativo 29412 727
primeiroNegativo 192 1
primeiroNegativo 29612 682
primeiroNegativo 170 1
primeiroNegativo 18478 476
primeiroNegativo 161 1
primeiroNegativo 6808 176
primeiroNegativo 215 1
primeiroNegativo 8621 647
primeiroNegativo 185 1
primeiroNegativo 3580 484
primeiroNegativo 165 1
primeiroNegativo 875 111
primeiroNegativo 208 1
primeiroNegativo 4091 557
primeiroNegativo 166 1
primeiroNegativo 4000 516
primeiroNegativo 180 1
primeiroNegativo 2313 311
primeiroNegativo 190 1
primeiroNegativo 14625 987
primeiroNegativo 319 1
primeiroNegativo 673 53
primeiroNegativo 213 1
primeiroNegativo 2399 320
primeiroNegativo 200 1
primeiroNegativo 6381 899
primeiroNegativo 174 1
primeiroNegativo 3409 464
primeiroNegativo 173 1
primeiroNegativo 2230 308
primeiroNegativo 185 1
primeiroNegativo 2745 292
primeiroNegativo 240 1
primeiroNegativo 4949 536
primeiroNegativo 174 1
primeiroNegativo 4561 626
primeiroNegativo 170 1
primeiroNegativo 303 15
primeiroNegativo 120 1
primeiroNegativo 6543 740
primeiroNegativo 219 1
primeiroNegativo 3904 527
primeiroNegativo 223 1
primeiroNegativo 1667 224
primeiroNegativo 110 1
primeiroNegativo 4560 646
primeiroNegativo 134 1
primeiroNegativo 4283 607
primeiroNegativo 174 1
primeiroNegativo 448 41
primeiroNegativo 117 1
primeiroNegativo 4244 596
primeiroNegativo 177 1
primeiroNegativo 4051 564
primeiroNegativo 189 1
primeiroNegativo 4231 591
primeiroNegativo 163 1
primeiroNegativo 5565 774
primeiroNegativo 186 1
primeiroNegativo 1209 106
primeiroNegativo 193 1
primeiroNegativo 4607 641
primeiroNegativo 182 1
primeiroNegativo 2370 325
primeiroNegativo 184 1
primeiroNegativo 4035 556
primeiroNegativo 182 1
primeiroNegativo 5805 764
primeiroNegativo 184 1
primeiroNegativo 5399 679
primeiroNegativo 248 1
primeiroNegativo 6524 899
primeiroNegativo 194 1
primeiroNegativo 3599 220
primeiroNegativo 208 1
primeiroNegativo 1259 212
primeiroNegativo 174 1
primeiroNegativo 625 104
primeiroNegativo 125 1
primeiroNegativo 59191 906
primeiroNegativo 169 1
primeiroNegativo 2506 484
primeiroNegativo 179 1
primeiroNegativo 1670 330
primeiroNegativo 119 1
primeiroNegativo 2807 582
primeiroNegativo 139 1
primeiroNegativo 2932 606
primeiroNegativo 105 1
primeiroNegativo 1313 274
primeiroNegativo 59 1
primeiroNegativo 704 142
primeiroNegativo 56 1
primeiroNegativo 3946 813
primeiroNegativo 136 1
primeiroNegativo 4365 900
primeiroNegativo 156 1
primeiroNegativo 939 174
primeiroNegativo 103 1
primeiroNegativo 4951 984
primeiroNegativo 171 1
primeiroNegativo 2298 435
primeiroNegativo 159 1
primeiroNegativo 2392 465
primeiroNegativo 104 1
primeiroNegativo 147 17
primeiroNegativo 72 1
primeiroNegativo 4053 854
primeiroNegativo 61 1
primeiroNegativo 2932 612
primeiroNegativo 148 1
primeiroNegativo 2390 488
primeiroNegativo 149 1
primeiroNegativo 1754 337
primeiroNegativo 84 1
primeiroNegativo 1613 328
primeiroNegativo 62 1
primeiroNegativo 818 159
primeiroNegativo 65 1
primeiroNegativo 655 130
primeiroNegativo 56 1
primeiroNegativo 1672 347
primeiroNegativo 35 1
primeiroNegativo 1876 384
primeiroNegativo 145 1
primeiroNegativo 3495 720
primeiroNegativo 137 1
primeiroNegativo 4157 840
primeiroNegativo 147 1
primeiroNegativo 2375 467
primeiroNegativo 174 1
primeiroNegativo 1931 378
primeiroNegativo 104 1
primeiroNegativo 1957 410
primeiroNegativo 160 1
primeiroNegativo 3135 632
primeiroNegativo 148 1
primeiroNegativo 3371 615
primeiroNegativo 186 1
primeiroNegativo 3794 752
primeiroNegativo 153 1
primeiroNegativo 4432 892
primeiroNegativo 153 1
primeiroNegativo 2905 576
primeiroNegativo 139 1
primeiroNegativo 1684 341
primeiroNegativo 100 1
primeiroNegativo 2029 417
primeiroNegativo 128 1
primeiroNegativo 4680 957
primeiroNegativo 149 1
primeiroNegativo 627 111
primeiroNegativo 95 1
primeiroNegativo 3920 818
primeiroNegativo 135 1
primeiroNegativo 1739 347
primeiroNegativo 69 1
primeiroNegativo 1130067 755
primeiroNegativo 674313 755
